profile_index,level_index,latitude,longitude,julian_time,pressure,temperature,salinity,date
0,0,-9.857,55.953,2002-11-11 09:20:28.000000000,5.5,27.38800048828125,35.37699890136719,2002-11-11 09:20:28.000000000
0,1,-9.857,55.953,2002-11-11 09:20:28.000000000,9.399999618530273,27.375,35.37699890136719,2002-11-11 09:20:28.000000000
0,2,-9.857,55.953,2002-11-11 09:20:28.000000000,14.300000190734863,27.302000045776367,35.375999450683594,2002-11-11 09:20:28.000000000
0,3,-9.857,55.953,2002-11-11 09:20:28.000000000,18.899999618530273,27.26799964904785,35.374000549316406,2002-11-11 09:20:28.000000000
0,4,-9.857,55.953,2002-11-11 09:20:28.000000000,23.899999618530273,27.246999740600586,35.37300109863281,2002-11-11 09:20:28.000000000
0,5,-9.857,55.953,2002-11-11 09:20:28.000000000,29.0,27.243000030517578,35.374000549316406,2002-11-11 09:20:28.000000000
0,6,-9.857,55.953,2002-11-11 09:20:28.000000000,34.400001525878906,27.23900032043457,35.375,2002-11-11 09:20:28.000000000
0,7,-9.857,55.953,2002-11-11 09:20:28.000000000,39.20000076293945,27.231000900268555,35.374000549316406,2002-11-11 09:20:28.000000000
0,8,-9.857,55.953,2002-11-11 09:20:28.000000000,43.900001525878906,27.226999282836914,35.37200164794922,2002-11-11 09:20:28.000000000
0,9,-9.857,55.953,2002-11-11 09:20:28.000000000,49.29999923706055,27.180999755859375,35.36899948120117,2002-11-11 09:20:28.000000000
0,10,-9.857,55.953,2002-11-11 09:20:28.000000000,59.400001525878906,26.874000549316406,35.4010009765625,2002-11-11 09:20:28.000000000
0,11,-9.857,55.953,2002-11-11 09:20:28.000000000,69.5999984741211,26.231000900268555,35.4010009765625,2002-11-11 09:20:28.000000000
0,12,-9.857,55.953,2002-11-11 09:20:28.000000000,79.19999694824219,25.461000442504883,35.4010009765625,2002-11-11 09:20:28.000000000
0,13,-9.857,55.953,2002-11-11 09:20:28.000000000,89.69999694824219,23.930999755859375,35.30400085449219,2002-11-11 09:20:28.000000000
0,14,-9.857,55.953,2002-11-11 09:20:28.000000000,99.4000015258789,21.16900062561035,35.13100051879883,2002-11-11 09:20:28.000000000
0,15,-9.857,55.953,2002-11-11 09:20:28.000000000,109.30000305175781,19.968000411987305,35.104000091552734,2002-11-11 09:20:28.000000000
0,16,-9.857,55.953,2002-11-11 09:20:28.000000000,119.5999984741211,19.70800018310547,35.10100173950195,2002-11-11 09:20:28.000000000
0,17,-9.857,55.953,2002-11-11 09:20:28.000000000,129.3000030517578,18.54599952697754,35.108001708984375,2002-11-11 09:20:28.000000000
0,18,-9.857,55.953,2002-11-11 09:20:28.000000000,138.89999389648438,18.069000244140625,35.10200119018555,2002-11-11 09:20:28.000000000
0,19,-9.857,55.953,2002-11-11 09:20:28.000000000,149.39999389648438,16.922000885009766,35.08399963378906,2002-11-11 09:20:28.000000000
0,20,-9.857,55.953,2002-11-11 09:20:28.000000000,168.89999389648438,16.142000198364258,35.09400177001953,2002-11-11 09:20:28.000000000
0,21,-9.857,55.953,2002-11-11 09:20:28.000000000,189.1999969482422,14.663000106811523,35.084999084472656,2002-11-11 09:20:28.000000000
0,22,-9.857,55.953,2002-11-11 09:20:28.000000000,209.60000610351562,13.817999839782715,35.11800003051758,2002-11-11 09:20:28.000000000
0,23,-9.857,55.953,2002-11-11 09:20:28.000000000,229.5,13.267000198364258,35.10300064086914,2002-11-11 09:20:28.000000000
0,24,-9.857,55.953,2002-11-11 09:20:28.000000000,248.8000030517578,12.710000038146973,35.09199905395508,2002-11-11 09:20:28.000000000
0,25,-9.857,55.953,2002-11-11 09:20:28.000000000,299.0,11.5649995803833,34.98099899291992,2002-11-11 09:20:28.000000000
0,26,-9.857,55.953,2002-11-11 09:20:28.000000000,349.3999938964844,10.741000175476074,34.915000915527344,2002-11-11 09:20:28.000000000
0,27,-9.857,55.953,2002-11-11 09:20:28.000000000,399.20001220703125,9.875,34.83599853515625,2002-11-11 09:20:28.000000000
0,28,-9.857,55.953,2002-11-11 09:20:28.000000000,449.3999938964844,9.37600040435791,34.79899978637695,2002-11-11 09:20:28.000000000
0,29,-9.857,55.953,2002-11-11 09:20:28.000000000,499.29998779296875,8.95300006866455,34.7869987487793,2002-11-11 09:20:28.000000000
0,30,-9.857,55.953,2002-11-11 09:20:28.000000000,599.0999755859375,8.293000221252441,34.766998291015625,2002-11-11 09:20:28.000000000
0,31,-9.857,55.953,2002-11-11 09:20:28.000000000,699.5,7.497000217437744,34.77399826049805,2002-11-11 09:20:28.000000000
0,32,-9.857,55.953,2002-11-11 09:20:28.000000000,799.5999755859375,6.8460001945495605,34.77399826049805,2002-11-11 09:20:28.000000000
0,33,-9.857,55.953,2002-11-11 09:20:28.000000000,898.7999877929688,6.34499979019165,34.77000045776367,2002-11-11 09:20:28.000000000
0,34,-9.857,55.953,2002-11-11 09:20:28.000000000,999.2999877929688,5.863999843597412,34.76900100708008,2002-11-11 09:20:28.000000000
0,35,-9.857,55.953,2002-11-11 09:20:28.000000000,1099.4000244140625,5.47599983215332,34.76900100708008,2002-11-11 09:20:28.000000000
0,36,-9.857,55.953,2002-11-11 09:20:28.000000000,1199.4000244140625,4.9710001945495605,34.76499938964844,2002-11-11 09:20:28.000000000
0,37,-9.857,55.953,2002-11-11 09:20:28.000000000,1299.0999755859375,4.480000019073486,34.7599983215332,2002-11-11 09:20:28.000000000
0,38,-9.857,55.953,2002-11-11 09:20:28.000000000,1399.5999755859375,3.990999937057495,34.74599838256836,2002-11-11 09:20:28.000000000
